date,open,high,low,close,volume
02/11/2015,35.2981,35.4784,35.2243,35.339,3027911
03/11/2015,34.8964,35.0767,34.6833,34.839,6825030
04/11/2015,35.3063,35.3718,34.7816,34.921,4463199
05/11/2015,34.8636,34.8636,34.4701,34.6587,2574840
06/11/2015,34.3963,34.4537,34.0521,34.3636,5331106
09/11/2015,34.1012,34.1545,33.8389,34.0521,3592070
10/11/2015,33.927,34.1014,33.7193,34.0267,3107155
11/11/2015,34.2676,34.3423,34.035,34.035,2295044
12/11/2015,33.7525,33.8273,33.2707,33.2707,3281565
13/11/2015,32.955,33.2263,32.9135,33.1212,2902030
16/11/2015,33.1045,33.4451,33.0464,33.4202,2938543
17/11/2015,33.7525,34.0267,33.6778,33.7525,3016182
18/11/2015,33.8937,34.0848,33.8024,34.0599,3316824
19/11/2015,34.3839,34.4046,34.1288,34.2177,2940156
20/11/2015,34.4586,34.5583,34.1471,34.1596,2654401
23/11/2015,33.8937,34.0566,33.5116,33.5698,2953863
24/11/2015,33.2624,33.5947,33.2375,33.5531,3899608
25/11/2015,33.927,33.9635,33.7442,33.8107,2931702
27/11/2015,34.0848,34.1928,34.01,34.0267,1559866
30/11/2015,33.9602,34.0267,33.6362,33.6528,2955689
01/12/2015,33.819,34.01,33.6529,33.9934,3235427
02/12/2015,34.3008,34.442,33.8979,33.9934,2722577
03/12/2015,33.902,33.9353,33.0962,33.2292,3042403
04/12/2015,33.3039,33.4867,33.063,33.4535,3162201
07/12/2015,33.4036,33.4202,33.038,33.2292,2521209
08/12/2015,32.7141,32.9799,32.6248,32.8138,3079748
09/12/2015,33.2541,33.441,32.7921,32.9052,3069489
10/12/2015,33.2624,33.3288,33.0547,33.1627,2938690
11/12/2015,33.0381,33.063,32.6144,32.656,2876878
14/12/2015,32.6061,32.631,32.1077,32.4815,3859170
15/12/2015,32.631,32.8886,32.6227,32.6809,3215102
16/12/2015,33.1959,33.4659,32.8803,33.4285,3226497
17/12/2015,33.6113,33.6197,33.063,33.0879,3435035
18/12/2015,33.0381,33.1079,32.7556,32.7556,3021440
21/12/2015,33.4784,33.495,32.8636,33.0796,2843927
22/12/2015,33.0132,33.1959,32.8994,33.1461,4009040
23/12/2015,33.5615,34.1097,33.5615,34.0267,3626730
24/12/2015,33.9851,34.143,33.9768,34.0017,916612
28/12/2015,33.8605,34.1014,33.8522,33.9934,2106679
29/12/2015,34.0848,34.334,34.0599,34.2177,2165916
30/12/2015,34.035,34.2842,33.9934,34.0931,2087023
31/12/2015,33.8937,33.9685,33.5116,33.5199,2047522
04/01/2016,33.4368,33.6154,33.1045,33.603,4051595
05/01/2016,33.4451,33.8564,33.4285,33.7941,3138757
06/01/2016,33.3953,33.6196,33.2541,33.4285,2708847
07/01/2016,32.6061,32.8636,32.3403,32.4067,4635423
08/01/2016,33.3205,33.4517,32.7141,32.7473,5258259
11/01/2016,33.0049,33.0879,32.2863,32.6393,4618644
12/01/2016,32.7723,32.8636,32.3485,32.7723,3554910
13/01/2016,33.2873,33.4119,32.4981,32.5313,3522582
14/01/2016,32.8969,33.5781,32.7266,33.4618,3924160
15/01/2016,32.2987,32.6726,32.0661,32.3154,5671321
19/01/2016,33.1129,33.1295,32.332,32.631,4574346
20/01/2016,32.332,32.5729,31.5428,32.3569,4855560
21/01/2016,32.224,32.6643,31.9,32.4317,3971360
22/01/2016,33.0464,33.3122,33.0049,33.2541,3099772
25/01/2016,33.3455,33.4285,32.9259,32.9633,2878165
26/01/2016,33.6279,33.9436,33.3039,33.9187,4602649
27/01/2016,34.1014,34.1762,33.5199,33.7276,3607998
28/01/2016,33.6694,33.9685,33.1793,33.7608,5344813
29/01/2016,33.6694,34.3133,33.5698,34.3008,4139241
01/02/2016,33.8439,34.5168,33.7691,34.3756,2985940
02/02/2016,34.1679,34.2094,33.7941,33.9768,3345162
03/02/2016,35.1232,35.1398,34.5168,34.9322,6393687
04/02/2016,34.3506,34.5916,33.7359,34.0433,6326595
05/02/2016,34.0017,34.0184,33.6113,33.8605,3431421
08/02/2016,33.171,33.2209,32.3277,32.7889,7857450
09/02/2016,32.4732,32.9218,32.4391,32.6809,6811911
10/02/2016,32.656,32.9384,32.4358,32.5064,5805388
11/02/2016,32.7224,32.8387,32.2323,32.523,5879724
12/02/2016,32.3569,33.0381,32.3237,33.0298,3815847
16/02/2016,33.495,33.7608,33.2707,33.6113,4126273
17/02/2016,33.6297,33.8525,33.5869,33.7497,5423301
18/02/2016,33.6983,34.0409,33.6126,33.724,5243724
19/02/2016,33.7068,34.1145,33.5355,34.058,4054725
22/02/2016,33.7154,33.9296,33.6383,33.7154,2856037
23/02/2016,33.3556,33.5098,33.0515,33.0987,3184878
24/02/2016,32.5162,33.073,32.392,33.013,3720938
25/02/2016,33.467,33.8439,33.3642,33.8353,3598055
26/02/2016,33.6811,33.7668,33.4627,33.527,2999332
29/02/2016,33.3471,33.4927,33.0557,33.1244,2902774
01/03/2016,33.7068,33.9809,33.5441,33.9724,3415225
02/03/2016,33.4584,33.7754,33.3704,33.7497,2819582
03/03/2016,33.0987,33.6126,33.0901,33.5612,4181627
04/03/2016,33.2871,33.7068,33.2614,33.527,4579920
07/03/2016,33.1672,33.8782,33.1072,33.6811,4481137
08/03/2016,33.7582,34.1617,33.6726,34.0152,3939050
09/03/2016,34.178,34.3364,34.118,34.2465,2861347
10/03/2016,34.3236,34.5206,33.8353,34.0066,3383379
11/03/2016,34.2636,34.6233,34.2122,34.5634,2648254
14/03/2016,34.6063,34.733,34.4564,34.6234,2378306
15/03/2016,34.4778,34.4863,34.1608,34.2722,2895244
16/03/2016,33.9467,34.4178,33.9039,34.3065,2566675
17/03/2016,34.4435,34.9832,34.267,34.8975,3708358
18/03/2016,34.3236,34.5163,34.2294,34.3322,4713236
